alex_king,maria_sun
alex_king,john_dev
maria_sun,emma_star
john_dev,emma_star
emma_star,liam_code
liam_code,noah_builder
noah_builder,olivia_design
olivia_design,ava_ui
ava_ui,sophia_flow
sophia_flow,james_logic
james_logic,benjamin_data
benjamin_data,lucas_ai
lucas_ai,henry_stack
henry_stack,cloud_runner

cloud_runner,dev_ops
dev_ops,infra_master
infra_master,server_guard
server_guard,cloud_runner

pixel_artist,design_queen
design_queen,ux_guru
ux_guru,color_wizard
color_wizard,layout_pro
layout_pro,vector_master
vector_master,brand_builder
brand_builder,visual_mind
visual_mind,pixel_artist

crypto_king,blockchain_dev
blockchain_dev,web3_builder
web3_builder,token_master
token_master,defi_wizard
defi_wizard,nft_artist
nft_artist,crypto_trader
crypto_trader,coin_hunter
coin_hunter,crypto_king

data_miner,ml_engineer
ml_engineer,ai_researcher
ai_researcher,deep_thinker
deep_thinker,neural_net
neural_net,logic_flow
logic_flow,data_miner

gamer_x,pro_player
pro_player,stream_king
stream_king,arena_master
arena_master,esport_pro
esport_pro,team_leader
team_leader,clan_master
clan_master,gamer_x

startup_guy,idea_builder
idea_builder,product_hacker
product_hacker,growth_ninja
growth_ninja,market_maker
market_maker,business_mind
business_mind,startup_guy

mobile_ninja,android_dev
android_dev,ios_master
ios_master,flutter_guru
flutter_guru,react_native_dev
react_native_dev,mobile_designer
mobile_designer,mobile_ninja

qa_hunter,test_master
test_master,bug_smasher
bug_smasher,automation_pro
automation_pro,quality_guard
quality_guard,qa_hunter

night_coder,silent_debugger
silent_debugger,fix_master
fix_master,code_reviewer
code_reviewer,clean_architect
clean_architect,night_coder

dark_designer,minimal_artist
minimal_artist,ui_crafter
ui_crafter,ux_thinker
ux_thinker,dark_designer

fast_trader,market_sniper
market_sniper,price_watcher
price_watcher,trend_reader
trend_reader,fast_trader

ai_builder,model_trainer
model_trainer,data_labeler
data_labeler,pattern_finder
pattern_finder,ai_builder

streamer_live,chat_master
chat_master,viewer_king
viewer_king,content_creator
content_creator,streamer_live

idea_starter,product_owner
product_owner,team_builder
team_builder,growth_hacker
growth_hacker,idea_starter

infra_guard,system_admin
system_admin,network_keeper
network_keeper,infra_guard

app_creator,ui_engineer
ui_engineer,frontend_pro
frontend_pro,app_creator

test_runner,bug_tracker
bug_tracker,qa_lead
qa_lead,test_runner

code_phantom,bug_whisperer
bug_whisperer,stack_builder
stack_builder,api_master
api_master,code_phantom

design_muse,visual_poet
visual_poet,color_dreamer
color_dreamer,layout_artist
layout_artist,design_muse

chain_walker,block_miner
block_miner,token_smith
token_smith,defi_runner
defi_runner,chain_walker

data_shadow,model_crafter
model_crafter,pattern_reader
pattern_reader,signal_finder
signal_finder,data_shadow

game_sniper,arena_shadow
arena_shadow,team_player
team_player,rank_hunter
rank_hunter,game_sniper

idea_machine,vision_builder
vision_builder,product_shaper
product_shaper,growth_driver
growth_driver,idea_machine

cloud_keeper,infra_guardian
infra_guardian,system_scaler
system_scaler,cloud_keeper

mobile_artist,app_crafter
app_crafter,ui_maker
ui_maker,mobile_artist

test_hunter,quality_master
quality_master,bug_tracker_pro
bug_tracker_pro,test_hunter

data_streamer,pipeline_builder
pipeline_builder,event_reader
event_reader,data_streamer

code_runner,debug_master
debug_master,logic_solver
logic_solver,code_runner

pixel_dreamer,art_creator
art_creator,design_mind
design_mind,pixel_dreamer

crypto_runner,market_watcher
market_watcher,token_tracker
token_tracker,crypto_runner

ai_mind,deep_modeler
deep_modeler,pattern_learner
pattern_learner,ai_mind

pro_gamer,stream_master
stream_master,game_leader
game_leader,pro_gamer

startup_dreamer,product_owner_pro
product_owner_pro,team_builder_pro
team_builder_pro,startup_dreamer

cloud_operator,server_keeper
server_keeper,infra_scaler
infra_scaler,cloud_operator

app_builder,frontend_artist
frontend_artist,ui_master
ui_master,app_builder

qa_master,bug_destroyer
bug_destroyer,quality_checker
quality_checker,qa_master

data_analyst,trend_reader_pro
trend_reader_pro,insight_finder
insight_finder,data_analyst

# CROSS LINKS (делают граф живым)
alex_king,pixel_artist
john_dev,ml_engineer
emma_star,design_queen
liam_code,crypto_king
ava_ui,ux_guru
benjamin_data,data_miner
lucas_ai,ai_researcher
henry_stack,startup_guy
cloud_runner,ai_researcher
mobile_ninja,design_queen
qa_hunter,crypto_trader